Roll_No,Name,Year,Branch,Division,UserName,Password,City
1,ZUY,1st,Mech,A,1st_Mech_1,1st_Mech_1,Mumbai
2,YFJ,1st,Mech,A,1st_Mech_2,1st_Mech_2,Dharangaon
3,ZRK,1st,Mech,A,1st_Mech_3,1st_Mech_3,Dharangaon
4,RVP,1st,Mech,A,1st_Mech_4,1st_Mech_4,Chopda
5,DBL,1st,Mech,A,1st_Mech_5,1st_Mech_5,Bhadgaon
6,PVV,1st,Mech,A,1st_Mech_6,1st_Mech_6,Mumbai
7,VEZ,1st,Mech,A,1st_Mech_7,1st_Mech_7,Mumbai
8,GOU,1st,Mech,A,1st_Mech_8,1st_Mech_8,Amalner
9,KRP,1st,Mech,A,1st_Mech_9,1st_Mech_9,Shirpur
10,SAQ,1st,Mech,A,1st_Mech_10,1st_Mech_10,Mumbai
11,SUV,1st,Mech,A,1st_Mech_11,1st_Mech_11,Chopda
12,ZRL,1st,Mech,A,1st_Mech_12,1st_Mech_12,Dharangaon
13,NCZ,1st,Mech,A,1st_Mech_13,1st_Mech_13,Shirpur
14,WGK,1st,Mech,A,1st_Mech_14,1st_Mech_14,Chopda
15,OLQ,1st,Mech,A,1st_Mech_15,1st_Mech_15,Pachora
16,DBF,1st,Mech,A,1st_Mech_16,1st_Mech_16,Shirpur
17,ZIF,1st,Mech,A,1st_Mech_17,1st_Mech_17,Bhadgaon
18,YIZ,1st,Mech,A,1st_Mech_18,1st_Mech_18,Chalisgaon
19,IQK,1st,Mech,A,1st_Mech_19,1st_Mech_19,Dhule
20,GDY,1st,Mech,A,1st_Mech_20,1st_Mech_20,Shirpur
21,POV,1st,Mech,A,1st_Mech_21,1st_Mech_21,Parola
22,NOW,1st,Mech,A,1st_Mech_22,1st_Mech_22,Mumbai
23,EVC,1st,Mech,A,1st_Mech_23,1st_Mech_23,Dharangaon
24,EYD,1st,Mech,A,1st_Mech_24,1st_Mech_24,Pachora
25,FEF,1st,Mech,A,1st_Mech_25,1st_Mech_25,Amalner
26,VYA,1st,Mech,A,1st_Mech_26,1st_Mech_26,Mumbai
27,SRW,1st,Mech,A,1st_Mech_27,1st_Mech_27,Chopda
28,BTE,1st,Mech,A,1st_Mech_28,1st_Mech_28,Pachora
29,NLR,1st,Mech,A,1st_Mech_29,1st_Mech_29,Chopda
30,CJW,1st,Mech,A,1st_Mech_30,1st_Mech_30,Mumbai
31,HMX,1st,Mech,A,1st_Mech_31,1st_Mech_31,Pune
32,GSV,1st,Mech,A,1st_Mech_32,1st_Mech_32,Chopda
33,OJC,1st,Mech,A,1st_Mech_33,1st_Mech_33,Bhadgaon
34,ITK,1st,Mech,A,1st_Mech_34,1st_Mech_34,Pachora
35,JHZ,1st,Mech,A,1st_Mech_35,1st_Mech_35,Parola
36,SSC,1st,Mech,A,1st_Mech_36,1st_Mech_36,Shindkheda
37,BTE,1st,Mech,A,1st_Mech_37,1st_Mech_37,Mumbai
38,YXN,1st,Mech,A,1st_Mech_38,1st_Mech_38,Pune
39,EDM,1st,Mech,A,1st_Mech_39,1st_Mech_39,Dharangaon
40,SJR,1st,Mech,A,1st_Mech_40,1st_Mech_40,Mumbai
41,HKR,1st,Mech,A,1st_Mech_41,1st_Mech_41,Parola
42,FTT,1st,Mech,A,1st_Mech_42,1st_Mech_42,Pune
43,CNG,1st,Mech,A,1st_Mech_43,1st_Mech_43,Bhadgaon
44,QCG,1st,Mech,A,1st_Mech_44,1st_Mech_44,Dhule
